ATCvet,Dosageform,Genericname,Legalstatus,Manufacturername,Packagetype,Productcontrol,Routeofadministration,Storageconditions,Strengthvalue,Targetanimals,Tradename,Type,Unitofstrength ,Unitofvolume,Volume,_id
QJ01CA04,Powder for use in drinking water,Amoxicillin,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Poultry, Sheep,Goats, Cattle, Dogs, Cats",Amoxivet 20% ,"meat, egg, milk",mg,g,1000,63283c50428ed1b232dba827
QJ01AA02,Powder for use in drinking water,Doxycycline ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Poultry, Dogs",Doxyvet 20%,meat,mg/g  ,g,100,63283c50428ed1b232dba828
QJ01AA02,Powder for use in drinking water,Doxycycline ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Poultry, Dogs",Doxyvet 20%,meat,mg/g  ,g,500,63283c50428ed1b232dba829
QJ01AA02,Powder for use in drinking water,Doxycycline ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Poultry, Dogs",Doxyvet 20%,meat,mg/g  ,g,1000,63283c50428ed1b232dba82a
QN02BB02,Solution for injection,Dipyrone (Metamizole),Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,,500,,Antipyrone Inj. ®,,mg/ml,ml,50,63283c50428ed1b232dba82b
QN02BB02,Solution for injection,Dipyrone (Metamizole),Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,,500,,Antipyrone Inj. ®,,mg/ml,ml,100,63283c50428ed1b232dba82c
QJ01MA90,Solution for injection,Enrofloxacin (Lactate),Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,Store below 25°C,123.8,"Cattle,Pig,Dog,Cat",Enrovet  Inj,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba82d
QJ01MA90,Solution for injection,Enrofloxacin (Lactate),Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,Store below 25°C,123.8,"Cattle,Pig,Dog,Cat",Enrovet  Inj,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba82e
QJ01GB03,Solution for injection,Gentamicin Sulphate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,Store below 25°C,50,"Cattle,Goat,Sheep,Poultry,Dog,Cat",Gentavet Inj,"meat, egg, milk",mg/ml,ml,50,63283c50428ed1b232dba82f
QJ01GB03,Solution for injection,Gentamicin Sulphate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,Store below 25°C,50,"Cattle,Goat,Sheep,Poultry,Dog,Cat",Gentavet Inj,"meat, egg, milk",mg/ml,ml,100,63283c50428ed1b232dba830
QP52AH01,powder for use in drinking water,Piperazine Citrate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,360,"Poultry,Cattle,Horse",Piperamentic 36%,meat,mg/g  ,g,100,63283c50428ed1b232dba831
QP52AH01,Powder for use in drinking water,Piperazine Citrate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,360,"Poultry,Cattle,Horse",Piperamentic 36%,meat,mg/g  ,g,500,63283c50428ed1b232dba832
QP52AH01,Powder for use in drinking water,Piperazine Citrate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,360,"Poultry,Cattle,Horse",Piperamentic 36%,meat,mg/g  ,g,1000,63283c50428ed1b232dba833
QJ01EW10,Solution for injection,"Sulphadiazine Sodium, Trimethoprim",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,Store below 25°C,"200, 40 ","Cattle,Horse,Sheep,Pig,Dog,Cat",Sulphaprim,meat,mg/ml,ml,50,63283c50428ed1b232dba834
QJ01EW10,Solution for injection,"Sulphadiazine Sodium, Trimethoprim",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,vial,Uncontrolled,Subcutaneous,Store below 25°C,"200, 40","Cattle,Horse,Sheep,Pig,Dog,Cat",Sulphaprim,meat,mg/ml,ml,100,63283c50428ed1b232dba835
QJ01FA01,Powder for use in drinking water,Erythromycin thiocyacnate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,350,Poultry,Erythrate 35%,"meat, egg",mg/g,g,100,63283c50428ed1b232dba836
QJ01FA01,Powder for use in drinking water,Erythromycin thiocyacnate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,350,Poultry,Erythrate 35%,"meat, egg",mg/g,g,500,63283c50428ed1b232dba837
QJ01FA01,Powder for use in drinking water,Erythromycin thiocyacnate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,350,Poultry,Erythrate 35%,"meat, egg",mg/g,g,1000,63283c50428ed1b232dba838
QB02BA02,Powder for use in drinking water,Menadione sodium bisulphate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,125,"Cattle,Calve ,Sheep,Poultry",Vitamin K3,0,mg,g,100,63283c50428ed1b232dba839
QA11JA,Oral solution,"Vitamin A, Vitamin D3, Vitamin E",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,,"Cattle,Calve ,Sheep,Poultry",Vitamin AD3E Sol,,,l,1,63283c50428ed1b232dba83a
QA11JA,Oral solution,"Vitamin A, Vitamin D3, Vitamin E",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,,"Cattle,Calve ,Sheep,Poultry",Vitamin AD3E Sol,,,l,5,63283c50428ed1b232dba83b
QA11JA,Oral solution,"Vitamin A, Vitamin D3, Vitamin E",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,,"Cattle,Calve ,Sheep,Poultry",Vitamin AD3E Sol,,,l,20,63283c50428ed1b232dba83c
QB02BA02,Solution for injection,Menadione sodium metabisulfite (Trihydrate) ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,10,"Cattle,Sheep,Horse ,Goat, Dog",Vitamin K3 Inj.,0,mg,ml,10,63283c50428ed1b232dba83d
QB02BA02,Solution for injection,Menadione sodium metabisulfite (Trihydrate) ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,10,"Cattle,Sheep,Horse ,Goat, Dog",Vitamin K3 Inj.,0,mg,ml,20,63283c50428ed1b232dba83e
QB02BA02,Solution for injection,Menadione sodium metabisulfite (Trihydrate) ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,10,"Cattle,Sheep,Horse ,Goat, Dog",Vitamin K3 Inj.,0,mg,ml,50,63283c50428ed1b232dba83f
QB02BA02,Solution for injection,Menadione sodium metabisulfite (Trihydrate) ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,10,"Cattle,Sheep,Horse ,Goat, Dog",Vitamin K3 Inj.,0,mg,ml,100,63283c50428ed1b232dba840
QJ01AA06,Solution for injection,Oxytetracycline,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle,Sheep,Horse ,Goat",Oxytetravet Inj L.A®,"meat, milk",mg/ml,ml,10,63283c50428ed1b232dba841
QJ01AA06,Solution for injection,Oxytetracycline,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle,Sheep,Horse ,Goat",Oxytetravet Inj L.A®,"meat, milk",mg/ml,ml,20,63283c50428ed1b232dba842
QJ01AA06,Solution for injection,Oxytetracycline,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle,Sheep,Horse ,Goat",Oxytetravet Inj L.A®,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba843
QJ01AA06,Solution for injection,Oxytetracycline,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle,Sheep,Horse ,Goat",Oxytetravet Inj L.A®,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba844
QJ01EW10,Powder for use in drinking water,"Sulphadiazine Sodium, Trimethoprim",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,"40, 8","Cattle,Sheep,Horse ,Poultry",Primovet®,meat,%,g,100,63283c50428ed1b232dba845
QJ01EW10,Powder for use in drinking water,"Sulphadiazine Sodium, Trimethoprim",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,"40, 8","Cattle,Sheep,Horse ,Poultry",Primovet®,meat,%,g,500,63283c50428ed1b232dba846
QJ01EW10,Powder for use in drinking water,"Sulphadiazine Sodium, Trimethoprim",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,"40, 8","Cattle,Sheep,Horse ,Poultry",Primovet®,meat,%,g,1000,63283c50428ed1b232dba847
QJ01FF52,Solution for injection,"Lincomycine, Spectinomycin",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,"56.7, 151.2","Cattle,Sheep,Goat,Dog,Cat ,Poultry",Spectovet®,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba848
QJ01FF52,Solution for injection,"Lincomycine, Spectinomycin",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,"56.7, 151.2","Cattle,Sheep,Goat,Dog,Cat ,Poultry",Spectovet®,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba849
QS01BA01,Solution for injection,Dexamethasone Sodium Phosphate,Prescription,KELA LABORATORIA,Vial,Uncontrolled,Intramuscular,Store below 25°C,2.64,"Cattle, Horses, Sheep, Goat, Cats, Dogs ",DEXA-kel 02,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba84a
,Powder for use in drinking water,Sulfamethazine Sodium ,Prescription,Saudi Pharmaceutical Industries (SPI),Jar,Uncontrolled,Oral,Store below 30°C,200,"Poultry, Calves, Sheep,Goats, Cattle, Camle, Horse, Dog,Cat, Lambs, Buffaloes",Sulphadimidine 20%®,"meat, milk",mg/g  ,g,500,63283c50428ed1b232dba84b
QJ01AA02,Powder for use in drinking water,Doxycycline,OTC,Saudi Pharmaceutical Industries (SPI),Jar,Uncontrolled,Oral,Store below 30°C,554.4,Poultry,Doxy-sav 50%®,meat,mg/g  ,g,500,63283c50428ed1b232dba84c
QP51AA08,Powder for use in drinking water,Ronidazole,OTC,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,10,,Trichozole 10%®,,mg,g,250,63283c50428ed1b232dba84d
QP51AA08,Powder for use in drinking water,Ronidazole,OTC,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,10,,Trichozole 10%®,,mg,g,100,63283c50428ed1b232dba84e
,Solution for injection,"Vitamin E, Selenium",OTC,S.P. Veterinaria s.a Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,"150, 0.5","Cattle,Sheep",Esvex,meat,mg,ml,100,63283c50428ed1b232dba84f
,Oral suspension,"Levamisole Hydrochloride, Oxyclozanide",Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,"30, 60","Calf, Cattle, Goat, Sheep",Leva-Cloza Sav,meat,mg/ml,ml,1000,63283c50428ed1b232dba850
QJ01AA06,Powder for oral solution,Oxytetracycline,Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,500,"Calf, Poultry",Savecycline 50%,meat,mg,g,500,63283c50428ed1b232dba851
QJ01AA06,Powder for oral solution,Oxytetracycline,Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,200,"Calf, Poultry",Savecycline 20%,meat,mg,g,500,63283c50428ed1b232dba852
QN02BB02,Solution for injection,Dipyrone (Metamizole),Prescription,Saudi Pharmaceutical Industries (SPI),Vial,Uncontrolled,Intramuscular,Store below 30°C,500,"Cat, Dog, Foal, Horse",Metalgen,,mg/ml,ml,100,63283c50428ed1b232dba853
QJ01FA01,Powder for oral solution,Erythromycin thiocyacnate,Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,200,"Calf, Foal, Lamb, Poultry",Erythromycin Sav 20%,meat,mg,g,500,63283c50428ed1b232dba854
QP51AJ01,Oral solution,Toltrazuril,Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,25,"Chicken, Chicken for reproduction, Pigeon, Turkey",Toltra Sav,,mg/ml,ml,1000,63283c50428ed1b232dba855
QJ01AA06,Solution for injection,Oxytetracycline,Prescription,Saudi Pharmaceutical Industries (SPI),Vial,Uncontrolled,Intramuscular,Store below 30°C,200,"Calf, Cattle, Goat, Sheep",Oxysav 20%,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba856
QJ01FA90,Solution for injection,Tylosin Base,Prescription,S.P. Veterinaria s.a Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle, Goat, Sheep",Inectil,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba857
,Oral solution,Sulphaquinoline Sodium,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,250,"Cattle, Horse, Poultry, Rabbit",Quinovet,"meat, broilers",mg/ml,ml,1000,63283c50428ed1b232dba858
,Oral solution,Sulphaquinoline Sodium,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,250,"Cattle, Horse, Poultry, Rabbit",Quinovet,"meat, broilers",mg/ml,ml,500,63283c50428ed1b232dba859
QP52AC11,Oral suspension,Albendazole,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,25,"Camel, Cattle, Goat, Sheep",Albevet 2.5%,meat,mg/ml,ml,1000,63283c50428ed1b232dba85a
QP52AC11,Oral suspension,Albendazole,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,25,"Camel, Cattle, Goat, Sheep",Albevet 2.5%,meat,mg/ml,ml,500,63283c50428ed1b232dba85b
QP51AX09,Oral solution,Amprolium,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,250,"Calf, Kid, Lamb, Poultry",Amprocidia,"meat, egg",mg/ml,ml,1000,63283c50428ed1b232dba85c
QP51AX09,Oral solution,Amprolium,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,250,"Calf, Kid, Lamb, Poultry",Amprocidia,"meat, egg",mg/ml,ml,500,63283c50428ed1b232dba85d
QP51AX09,Oral solution,Amprolium,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,250,"Calf, Kid, Lamb, Poultry",Amprocidia,"meat, egg",mg/ml,ml,250,63283c50428ed1b232dba85e
QR05CB02,Oral liquid,Bromhexine,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,5,"Cattle, Poultry",Bisolvet 0.5%,meat,mg/ml,ml,1000,63283c50428ed1b232dba85f
QR05CB02,Oral liquid,Bromhexine,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,5,"Cattle, Poultry",Bisolvet 0.5%,meat,mg/ml,ml,500,63283c50428ed1b232dba860
QC05BA04,Solution for injection,Pentosan Polysulfate Sodium,Prescription,Nature Vet Pty Ltd,Vial,Uncontrolled,Intramuscular,Store in a refrigerator (2°C – 8°C),250,Horse,Pentosan,meat,mg/ml,ml,6,63283c50428ed1b232dba861
QA11JB,Powder for oral solution,"Vitamins, Minerals",OTC,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,,Poultry,Multi-M,0,,g,200,63283c50428ed1b232dba862
QA11JB,Powder for oral solution,"Vitamins, Minerals",OTC,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,,Poultry,Multi-M,0,,g,500,63283c50428ed1b232dba863
QA11JB,Powder for oral solution,"Vitamins, Minerals",OTC,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,,Poultry,Multi-M,0,,g,1000,63283c50428ed1b232dba864
QP54AA01,Solution for injection,Ivermectin,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,Store below 25°C,10,"Camel, Cattle, Goat, Sheep",Tectin,meat,mg/ml,ml,10,63283c50428ed1b232dba865
QP54AA01,Solution for injection,Ivermectin,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,Store below 25°C,10,"Camel, Cattle, Goat, Sheep",Tectin,meat,mg/ml,ml,50,63283c50428ed1b232dba866
QP54AA01,Solution for injection,Ivermectin,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Subcutaneous,Store below 25°C,10,"Camel, Cattle, Goat, Sheep",Tectin,meat,mg/ml,ml,100,63283c50428ed1b232dba867
QJ01AA06,Solution for injection,Oxytetracycline,Prescription,Industrial Veterinaria S.A. (INVESA),Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle, Sheep, Goat",Oxytetracyclina 200 L.A.,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba868
,Solution for injection,"Cephalexin Monohydrate, Gentamicin Sulphate",Prescription,Industrial Veterinaria S.A. (INVESA),Vial,Uncontrolled,Intramammary,Store below 25°C,"35, 3.5","Cattle, Sheep, Goat",Mastilex,"meat, milk",mg/ml,ml,10,63283c50428ed1b232dba869
QJ51FA90,Solution for injection,Tylosin Base,Prescription,Industrial Veterinaria S.A. (INVESA),Vial,Uncontrolled,Intramuscular,Store below 25°C,200,Cattle,Tilosina 200 gonadexil,meat,mg/ml,ml,100,63283c50428ed1b232dba86a
QJ51CF02,Suspension for injection,Cloxacillin Benzothine,Prescription,Industrial Veterinaria S.A. (INVESA),Intramammary syringe,Uncontrolled,Intramammary,Store below 25°C,500,"Cattle, Sheep, Goat",Mamisec-cloxa,meat,mg,g,10,63283c50428ed1b232dba86b
QD06AA02,"Cutaneous spray, solution",Chlortetracycline Hydrochloride ,Prescription,Industrial Veterinaria S.A. (INVESA),Spray container,Uncontrolled,Topical,Store below 25°C,2,"Cattle, Sheep, Goat, Horse, Birds, Cat, Dog",Orondo Spray,,%,ml,250,63283c50428ed1b232dba86c
QJ01FA91,Oral solution,Tilmicosin,Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,250,Poultry,Tilmosav,meat,mg/ml,ml,120,63283c50428ed1b232dba86d
QJ01XB01,Oral solution,Colistin Sulphate,Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,1000000,"Goat, Poultry, Sheep",Coli Sav,meat,IU/ml,ml,1000,63283c50428ed1b232dba86e
QJ51FA90,Solution for injection,Tylosin Tartarate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle, Sheep, Goat",Tylorate,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba86f
QJ51FA90,Solution for injection,Tylosin Tartarate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle, Sheep, Goat",Tylorate,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba870
QN01AX03,Solution for injection,Ketamine hydrochloride,Prescription,Richter Pharma,Vial,Controlled,Intramuscular,Store below 25°C,100,"Cat, Cattle, Dog, Goat, Horse, Sheep",Ketamidor 10%,meat,mg,ml,10,63283c50428ed1b232dba871
QJ01CA01,Powder for oral solution,Ampicillin Trihydrate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Cattle, Horse, Poultry, Sheep",Ampivet 20%,meat,,g,100,63283c50428ed1b232dba872
QJ01CA01,Powder for oral solution,Ampicillin Trihydrate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Cattle, Horse, Poultry, Sheep",Ampivet 20%,meat,,g,500,63283c50428ed1b232dba873
QJ01CA01,Powder for oral solution,Ampicillin Trihydrate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Cattle, Horse, Poultry, Sheep",Ampivet 20%,meat,,g,1000,63283c50428ed1b232dba874
QJ01EW16,Powder for oral solution,"Trimethoprim, Sulfaquinoxaline",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,"165, 500",Poultry,Quinoprim,meat,,g,100,63283c50428ed1b232dba875
QJ01EW16,Powder for oral solution,"Trimethoprim, Sulfaquinoxaline",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,"165, 500",Poultry,Quinoprim,meat,,g,500,63283c50428ed1b232dba876
QJ01EW16,Powder for oral solution,"Trimethoprim, Sulfaquinoxaline",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,"165, 500",Poultry,Quinoprim,meat,,g,1000,63283c50428ed1b232dba877
QJ01GB03,Solution for injection,Gentamicin Sulphate,Prescription,KELA LABORATORIA,Vial,Uncontrolled,Intramuscular,Store below 25°C,50,"Cat, Dog, Horse",Genta 50,,mg/ml,ml,100,63283c50428ed1b232dba878
